meeting_id,speaker,start_time,end_time,duration,segment_id,next_speaker,prev_speaker,time_to_next,time_from_prev,is_turn_change,has_overlap,overlap_duration,overlapping_speakers,new_turn,words_ref,word_count,class,gloss
IS1003c,A,43.28,44.35,1.07,IS1003c.A.dialog-act.vkaraisk.1,,,,,,,,,False, So,1,minor,Stall
IS1003c,A,44.35,51.29,6.94,IS1003c.A.dialog-act.vkaraisk.2,A,,1.11,,True,False,0.0,[],False, let's start our second me meeting on conceptual design.,9,task,Suggest
IS1003c,B,49.481,50.591,1.11,IS1003c.B.dialog-act.vkaraisk.1,,,,,,,,,False,,0,minor,Fragment
IS1003c,D,50.91,51.16,0.25,IS1003c.D.dialog-act.vkaraisk.1,,,,,,,,,False, Mm-hmm.,1,minor,Backchannel
IS1003c,A,51.29,52.4,1.11,IS1003c.A.dialog-act.vkaraisk.3,,,,,,,,,False," So,",1,minor,Stall
IS1003c,A,52.4,56.76,4.36,IS1003c.A.dialog-act.vkaraisk.4,A,A,0.0,1.11,False,False,0.0,[],False, as the previous meeting I will be the secretary,9,task,Inform
IS1003c,B,56.25,56.5,0.25,IS1003c.B.dialog-act.vkaraisk.2,,,,,,,,,False, Mm-hmm.,1,minor,Backchannel
IS1003c,A,56.76,60.83,4.07,IS1003c.A.dialog-act.vkaraisk.5,A,A,0.0,0.0,False,False,0.0,[],False, and we will have three presentations,6,task,Inform
IS1003c,A,60.83,64.35,3.52,IS1003c.A.dialog-act.vkaraisk.6,A,A,0.0,0.0,False,False,0.0,[],False, and we'll have to decide on the remote control concept,10,task,Inform
IS1003c,A,64.35,69.72,5.37,IS1003c.A.dialog-act.vkaraisk.7,A,A,1.67,0.0,False,False,0.0,[],False, and finally we'll close the decision.,6,task,Inform
IS1003c,A,69.72,71.39,1.67,IS1003c.A.dialog-act.vkaraisk.8,,,,,,,,,False, So,1,minor,Stall
IS1003c,A,71.39,74.336,2.946,IS1003c.A.dialog-act.vkaraisk.9,D,A,0.714,1.67,False,False,0.0,[],False, I will first uh,4,other,Offer
IS1003c,D,74.96,75.05,0.09,IS1003c.D.dialog-act.vkaraisk.2,,,,,,,,,False, No,1,task,Assess
IS1003c,D,75.05,76.37,1.32,IS1003c.D.dialog-act.vkaraisk.3,A,A,3.22,0.714,True,False,0.0,[],True," y you do the minutes first,",6,task,Assess
IS1003c,D,76.37,76.55,0.18,IS1003c.D.dialog-act.vkaraisk.4,,,,,,,,,False, or?,1,minor,Fragment
IS1003c,A,77.21,77.4,0.19,IS1003c.A.dialog-act.vkaraisk.10,,,,,,,,,False, What?,1,other,Comment-About-Understanding
IS1003c,D,78.74,78.96,0.22,IS1003c.D.dialog-act.vkaraisk.5,,,,,,,,,False, No?,1,elicit,Elicit-Assessment
IS1003c,A,79.59,87.61,8.02,IS1003c.A.dialog-act.vkaraisk.11,C,D,18.54,3.22,True,False,0.0,[],True," I I think I will let uh our User Interface Designer speak first, Mister David Jordan.",16,task,Suggest
IS1003c,D,81.4,81.63,0.23,IS1003c.D.dialog-act.vkaraisk.6,,,,,,,,,False, Okay.,1,task,Assess
IS1003c,C,87.8,88.0,0.2,IS1003c.C.dialog-act.vkaraisk.1,,,,,,,,,False, Yep.,1,task,Assess
IS1003c,A,88.77,89.12,0.35,IS1003c.A.dialog-act.vkaraisk.12,,,,,,,,,False," So,",1,minor,Fragment
IS1003c,A,89.12,90.204,1.084,IS1003c.A.dialog-act.vkaraisk.13,,,,,,,,,False, we'll,1,minor,Fragment
IS1003c,C,93.96,94.12,0.16,IS1003c.C.dialog-act.vkaraisk.2,,,,,,,,,False, Yeah.,1,minor,Backchannel
IS1003c,A,94.05,96.18,2.13,IS1003c.A.dialog-act.vkaraisk.14,,,,,,,,,False, S,1,minor,Fragment
IS1003c,A,96.18,98.38,2.2,IS1003c.A.dialog-act.vkaraisk.15,,,,,,,,,False, technical accessoire?,2,elicit,Elicit-Inform
IS1003c,C,97.66,98.74,1.08,IS1003c.C.dialog-act.vkaraisk.3,,,,,,,,,False, No no no.,3,task,Inform
IS1003c,A,98.38,98.97,0.59,IS1003c.A.dialog-act.vkaraisk.16,,,,,,,,,False, Interface?,1,elicit,Elicit-Inform
IS1003c,C,98.74,98.91,0.17,IS1003c.C.dialog-act.vkaraisk.4,,,,,,,,,False, Yeah.,1,task,Inform
IS1003c,A,100.02,100.39,0.37,IS1003c.A.dialog-act.vkaraisk.17,,,,,,,,,False, This.,1,elicit,Elicit-Inform
IS1003c,C,100.34,100.53,0.19,IS1003c.C.dialog-act.vkaraisk.5,,,,,,,,,False, Mm.,1,task,Inform
IS1003c,C,105.24,106.15,0.91,IS1003c.C.dialog-act.vkaraisk.6,,,,,,,,,False, So uh,2,minor,Stall
IS1003c,C,106.15,110.91,4.76,IS1003c.C.dialog-act.vkaraisk.7,C,A,0.0,18.54,True,False,0.0,[],True, first I will present the concept of user interface.,9,other,Offer
IS1003c,C,110.91,115.51,4.6,IS1003c.C.dialog-act.vkaraisk.8,C,C,0.0,0.0,False,False,0.0,[],False, Um there's three concepts in the user interface.,8,task,Inform
IS1003c,C,115.51,117.98,2.47,IS1003c.C.dialog-act.vkaraisk.9,C,C,1.08,0.0,False,False,0.0,[],False, So first one it's a Google controller.,7,task,Inform
IS1003c,C,119.06,122.29,3.23,IS1003c.C.dialog-act.vkaraisk.10,C,C,0.0,1.08,False,False,0.0,[],False, The second is a fancy controller.,6,task,Inform
IS1003c,C,122.29,125.06,2.77,IS1003c.C.dialog-act.vkaraisk.11,C,C,0.0,0.0,False,False,0.0,[],False, The last one is uh intelligent controller.,7,task,Inform
IS1003c,C,125.06,127.41,2.35,IS1003c.C.dialog-act.vkaraisk.12,C,C,1.25,0.0,False,False,0.0,[],False, So there are three concepts in our controller.,8,task,Inform
